,City,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
0,Kurchum,48.60923071202819,82.35725125391167,32.0,KZ,1522683999.0,83.0,26.99,2.59
1,Albany,-62.02366093194372,117.32709104779326,0.0,AU,1522684007.0,80.0,61.82,11.32
2,Bilma,19.378640850508873,12.774386293495809,0.0,NE,1522683999.0,17.0,93.95,9.75
3,Quatre Cocos,-17.565876441778514,63.46185725526709,75.0,MU,1522681200.0,78.0,82.4,4.7
4,Carnarvon,-23.41698534919165,103.0935190887958,32.0,AU,1522684000.0,94.0,80.36,6.62
5,Rikitea,-57.284556283209575,-138.2434401824436,24.0,PF,1522684000.0,100.0,78.65,8.19
6,Hilo,10.128618591584285,-152.29330113389818,75.0,US,1522680780.0,83.0,69.8,4.7
7,Vao,-27.253048847913696,172.9016702406176,44.0,NC,1522684001.0,99.0,78.47,21.05
8,Thompson,63.873737229878714,-99.8199476309724,20.0,CA,1522681200.0,57.0,-9.41,2.24
9,Atuona,5.325544084539899,-128.680220594244,80.0,PF,1522684009.0,100.0,81.89,17.81
10,Mar del Plata,-65.99877464648439,-26.136886066893936,12.0,AR,1522683945.0,48.0,72.26,23.06
11,Nikolskoye,52.30258059145356,173.08787466028434,90.0,RU,1522681200.0,86.0,39.2,11.18
12,Marsh Harbour,28.64128001073506,-75.39150130136548,32.0,BS,1522684001.0,100.0,73.97,9.98
14,Nador,32.162756750765354,-1.9051639994032143,40.0,MA,1522683000.0,77.0,63.63,10.29
15,Alofi,-21.92508684593068,-171.18146239360854,48.0,NU,1522681200.0,100.0,73.4,5.82
16,Ushuaia,-63.42980848669907,-36.39136257862083,75.0,AR,1522681200.0,87.0,49.19,18.34
17,Port Elizabeth,-69.11626377957862,34.509430598868306,75.0,ZA,1522681380.0,83.0,73.4,26.4
18,Cape Town,-65.0946922360854,-5.092396094388789,20.0,ZA,1522681200.0,68.0,71.6,20.8
19,Tanout,15.715511252812632,8.03203051908352,0.0,NE,1522684011.0,11.0,100.61,4.61
20,Limbang,4.834211560316845,115.19799995195984,75.0,MY,1522683000.0,83.0,79.48,1.12
21,Santa Rosa,-17.289249148242234,-62.01137703055275,68.0,BO,1522684012.0,98.0,52.46,2.15
22,Onega,65.75204010239881,38.31540335968327,92.0,RU,1522684012.0,90.0,32.12,20.6
23,Punta Arenas,-68.49560735231125,-89.41970884682131,90.0,CL,1522681200.0,93.0,50.0,6.93
24,Macapa,0.8843174202684452,-51.585436226102644,40.0,BR,1522681200.0,59.0,91.4,6.93
25,Concordia,-31.480132701963612,-58.94672664870676,75.0,AR,1522681200.0,69.0,75.2,4.7
26,Sitka,51.99720690156002,-143.19013545133794,8.0,US,1522684014.0,61.0,34.37,11.99
27,Grua,60.393958226591536,10.67857216449596,0.0,NO,1522684014.0,63.0,34.73,3.15
28,Busselton,-42.660825326667606,96.34484868760109,0.0,AU,1522684006.0,88.0,72.71,13.44
29,Hambantota,-3.379039418616344,87.01762246155988,48.0,LK,1522684006.0,98.0,84.41,9.19
30,Northam,-30.21344432975154,118.5312801588014,0.0,AU,1522683000.0,50.0,78.8,18.34
31,Baykit,62.36546222927623,94.89473008248484,56.0,RU,1522684006.0,66.0,11.69,9.08
32,Saldanha,-40.14906952057911,-3.0985165642275376,20.0,ZA,1522681200.0,68.0,69.8,11.41
33,Sao Filipe,8.16454164189075,-24.904092468703425,0.0,CV,1522684007.0,91.0,71.9,15.79
34,Bredasdorp,-47.83472950107027,20.008759940267936,92.0,ZA,1522681200.0,64.0,75.2,11.41
35,Severo-Kurilsk,43.24652976199778,161.93944059990793,76.0,RU,1522684007.0,100.0,24.47,7.29
36,Amahai,-2.7804486221969853,130.58008843513085,56.0,ID,1522684016.0,100.0,81.53,6.06
37,Puerto Ayora,-1.185655915401469,-96.54912773704092,40.0,EC,1522681200.0,78.0,80.6,6.93
38,Kavieng,14.345676476234217,153.47903481016363,76.0,PG,1522684008.0,100.0,83.69,9.19
39,Taitung,22.434323710426455,123.11704851674676,44.0,TW,1522684008.0,100.0,67.49,4.27
40,The Valley,22.994394028202223,-61.81983464556997,20.0,AI,1522681200.0,51.0,82.4,9.17
41,Isangel,-18.262735382890938,179.82358571164457,44.0,VU,1522684009.0,100.0,80.72,18.25
42,Ancud,-40.6118970371798,-99.12719208193688,0.0,CL,1522684017.0,81.0,62.0,3.04
43,Kirakira,-15.782610307053872,160.6647003979703,92.0,SB,1522684009.0,100.0,78.92,5.95
44,Saveh,35.31083615745163,50.38468783513028,0.0,IR,1522683755.0,51.0,61.64,2.37
45,Udachnyy,67.97622793912461,114.03273918832019,20.0,RU,1522684009.0,47.0,-2.8,4.5
46,Dolinsk,47.79520679791892,143.85377744462295,40.0,RU,1522681200.0,93.0,37.4,13.42
47,Kapaa,12.546702631183834,-172.06038029809125,75.0,US,1522680960.0,83.0,73.24,12.75
48,East London,-58.80566504293929,43.76720000043025,20.0,ZA,1522681200.0,74.0,78.8,5.82
49,Njombe,-9.565341945875886,34.785273102215,64.0,TZ,1522684019.0,84.0,65.78,6.62
50,Chuy,-61.348552490651116,-26.18702100552673,76.0,UY,1522684011.0,90.0,72.8,11.21
51,Korla,42.525751970882766,85.34546263601521,92.0,CN,1522684011.0,52.0,44.45,8.19
53,Yellowknife,74.38536519415297,-110.11921578685909,40.0,CA,1522681200.0,69.0,-13.01,8.05
54,Shingu,25.786289210210498,137.7631737940464,0.0,JP,1522684020.0,92.0,60.92,9.42
55,Gejiu,22.6074679666484,102.36071542407564,48.0,CN,1522684012.0,94.0,56.15,1.92
56,Dubbo,-31.786684815854343,148.74948348312392,8.0,AU,1522683000.0,56.0,68.0,10.29
57,Butaritari,18.84305215682194,176.1878452851493,24.0,KI,1522684012.0,97.0,83.42,12.77
58,Tuatapere,-46.472935112997526,160.62772282928518,92.0,NZ,1522684021.0,100.0,53.9,22.28
59,Salur,18.464067086394863,83.2846447088429,0.0,IN,1522684013.0,78.0,72.8,2.59
61,Svetlaya,46.84731765170716,139.58764167384408,44.0,RU,1522684021.0,94.0,35.9,18.81
62,Znamenskoye,57.49651527598374,74.17040267480871,44.0,RU,1522684013.0,86.0,23.12,8.63
63,Hithadhoo,-9.100456310617034,73.22425520080958,56.0,MV,1522684013.0,100.0,85.13,10.42
64,Novonikolayevskaya,45.53155717890485,38.445410961305214,56.0,RU,1522684013.0,82.0,53.0,10.54
65,Cerritos,22.21480870604138,-100.41822055791484,75.0,MX,1522680120.0,39.0,64.4,4.16
67,Broome,-14.067210339711579,120.82763522701663,0.0,AU,1522683000.0,89.0,86.0,3.36
68,Zhigansk,71.2905069314155,120.89729298112775,56.0,RU,1522684023.0,67.0,2.42,2.04
